"Comment","Designator","Footprint","LCSC Part #"
"220uF/25V","C2","CP_Radial_D8.0mm_P3.50mm","C160181"
"4.7uF","C6","C_0402_1005Metric","C23733"
"10uF","C9","C_0402_1005Metric","C15525"
"10uF","C15","C_0805_2012Metric","C15850"
"0.1uF/50V","C16","C_0603_1608Metric","C14663"
"0.1uF","C20,C4,C3,C5,C8","C_0402_1005Metric","C1525"
"22uF","C21,C10","C_0603_1608Metric","C59461"
"RED","D4,D6","LED_0603_1608Metric","C72038"
"GREEN","D5","LED_0603_1608Metric","C72043"
"D_Schottky","D9,D8,D7,D11,D3,D12,D10,D13,D14","D_SOD-123","C8598"
"CONN_01X04","J1","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal","C157926"
"CONN_01X02","J2","WJ2EDGRC-5-08-2P","C3697"
"CONN_01X02","J4,J5,J6,J11,J12,J3,J13","KF2EDGR-3.5-2P","C441171"
"CONN_01X04","J7","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","C437064"
"CONN_01X04","J8","KF2EDGR-3.5-4P","C441173"
"USB_C_Receptacle_USB2.0","J9","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"CONN_01X03","J14,J16","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal","C265101"
"3.3uH","L1","SWPA30xxS","C48020"
"Q_NPN_BEC","Q1,Q4","SOT-23","C2150"
"YJL3416A","Q2,Q3,Q6,Q7,Q9,Q10","SOT-23","C389061"
"Q_NMOS_GSD/60V","Q5","SOT-23","C282260"
"Q_PMOS_GDS","Q8","SOT-23","C113490"
"5mR","R2","R_2512_6332Metric","C371096"
"5.1k","R3,R13","R_0402_1005Metric","C25905"
"0R","R4","R_0402_1005Metric","C17168"
"100kR","R5,R27,R28","R_0402_1005Metric","C25741"
"6.8R","R6","R_0402_1005Metric","C409930"
"100R","R8,R9,R10","R_0402_1005Metric","C25076"
"1kR","R11,R12,R24","R_0402_1005Metric","C11702"
"10kR","R16,R17,R18,R14,R7,R15,R20,R21,R29,R30","R_0402_1005Metric","C25744"
"2.2kR","R19,R1","R_0402_1005Metric","C25879"
"49.9k","R22","R_0402_1005Metric","C25897"
"16.2k","R23","R_0402_1005Metric","C27176"
"470R","R25,R26","R_0402_1005Metric","C25117"
"SW_Push","SW1","SW_Push_1P1T_NO_5.1x5.1mm","C318887"
"SHT30-DIS","U1","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm","C77361"
"INA3221","U2","Texas_RGV_S-PVQFN-N16_EP2.1x2.1mm","C181255"
"CH340C","U3","SOIC-16_3.9x9.9mm_P1.27mm","C84681"
"ESP32-PICO-V3","U6","QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm","C967022"
"TPMP2359","U9","TSOT-23-6","C2959845"
